"(Linked) Lifecycle_Module","(Linked) Lifecycle_Profile","response_text","status","updated_at","Creation Date","Modified Date"
"Emergency Continuity Plan","admin@prairieviewdental.com","","COMPLETED","Mar 1, 2026 12:28 am","Mar 1, 2026 12:28 am","Mar 1, 2026 12:28 am"
"Understanding Business Valuation Basics","admin@prairieviewdental.com","","COMPLETED","Mar 1, 2026 12:28 am","Mar 1, 2026 12:28 am","Mar 1, 2026 12:28 am"
"Ownership Timeline Reflection","admin@prairieviewdental.com","t","COMPLETED","Mar 1, 2026 12:28 am","Mar 1, 2026 12:28 am","Mar 1, 2026 12:28 am"
"Financing Options for Buyers","admin@prairieviewdental.com","","COMPLETED","Mar 1, 2026 12:28 am","Mar 1, 2026 12:28 am","Mar 1, 2026 12:28 am"
"Due Diligence Packet Preparation","admin@prairieviewdental.com","","COMPLETED","Mar 1, 2026 12:29 am","Mar 1, 2026 12:29 am","Mar 1, 2026 12:29 am"
"Ownership Timeline Reflection","office@summitridgebuild.com","t","COMPLETED","Mar 1, 2026 12:29 am","Mar 1, 2026 12:29 am","Mar 1, 2026 12:29 am"
"Meet Your Successor Before You Need One","office@summitridgebuild.com","","COMPLETED","Mar 1, 2026 12:30 am","Mar 1, 2026 12:30 am","Mar 1, 2026 12:30 am"
"Owner Dependency Reduction Checklist","office@summitridgebuild.com","","COMPLETED","Mar 1, 2026 12:30 am","Mar 1, 2026 12:30 am","Mar 1, 2026 12:30 am"
"5-Year Ownership Vision","office@summitridgebuild.com","t","COMPLETED","Mar 1, 2026 12:30 am","Mar 1, 2026 12:30 am","Mar 1, 2026 12:30 am"
"Build Transferable Systems Early","office@summitridgebuild.com","","COMPLETED","Mar 1, 2026 12:30 am","Mar 1, 2026 12:30 am","Mar 1, 2026 12:30 am"
"Emergency Continuity Plan","office@summitridgebuild.com","","COMPLETED","Mar 1, 2026 12:30 am","Mar 1, 2026 12:30 am","Mar 1, 2026 12:30 am"
"Understanding Business Valuation Basics","office@summitridgebuild.com","","COMPLETED","Mar 1, 2026 12:30 am","Mar 1, 2026 12:30 am","Mar 1, 2026 12:30 am"
"Pre-Transition Documentation Audit","office@summitridgebuild.com","","COMPLETED","Mar 1, 2026 12:30 am","Mar 1, 2026 12:30 am","Mar 1, 2026 12:30 am"
"Pre-Transition Documentation Audit","office@summitridgebuild.com","","COMPLETED","Mar 1, 2026 12:32 am","Mar 1, 2026 12:32 am","Mar 1, 2026 12:32 am"
"Meet Your Successor Before You Need One","pharmacist@cornerstonepharmacy.com","","COMPLETED","Mar 1, 2026 12:33 am","Mar 1, 2026 12:33 am","Mar 1, 2026 12:33 am"
"Owner Dependency Reduction Checklist","pharmacist@cornerstonepharmacy.com","","COMPLETED","Mar 1, 2026 12:33 am","Mar 1, 2026 12:33 am","Mar 1, 2026 12:33 am"
"5-Year Ownership Vision","pharmacist@cornerstonepharmacy.com","t","COMPLETED","Mar 1, 2026 12:33 am","Mar 1, 2026 12:33 am","Mar 1, 2026 12:33 am"
"Build Transferable Systems Early","pharmacist@cornerstonepharmacy.com","","COMPLETED","Mar 1, 2026 12:33 am","Mar 1, 2026 12:33 am","Mar 1, 2026 12:33 am"
"Emergency Continuity Plan","pharmacist@cornerstonepharmacy.com","","COMPLETED","Mar 1, 2026 12:33 am","Mar 1, 2026 12:33 am","Mar 1, 2026 12:33 am"
"Understanding Business Valuation Basics","pharmacist@cornerstonepharmacy.com","","COMPLETED","Mar 1, 2026 12:34 am","Mar 1, 2026 12:34 am","Mar 1, 2026 12:34 am"
"Ownership Timeline Reflection","pharmacist@cornerstonepharmacy.com","r","COMPLETED","Mar 1, 2026 12:34 am","Mar 1, 2026 12:34 am","Mar 1, 2026 12:34 am"
"Pre-Transition Documentation Audit","pharmacist@cornerstonepharmacy.com","","COMPLETED","Mar 1, 2026 12:34 am","Mar 1, 2026 12:34 am","Mar 1, 2026 12:34 am"
"Successor Pathway Assessment","pharmacist@cornerstonepharmacy.com","t","COMPLETED","Mar 1, 2026 12:34 am","Mar 1, 2026 12:34 am","Mar 1, 2026 12:34 am"
"Financing Options for Buyers","pharmacist@cornerstonepharmacy.com","","COMPLETED","Mar 1, 2026 12:34 am","Mar 1, 2026 12:34 am","Mar 1, 2026 12:34 am"
"Due Diligence Packet Preparation","pharmacist@cornerstonepharmacy.com","","COMPLETED","Mar 1, 2026 12:36 am","Mar 1, 2026 12:36 am","Mar 1, 2026 12:36 am"
"Transition Announcement Plan","pharmacist@cornerstonepharmacy.com","t","COMPLETED","Mar 1, 2026 12:36 am","Mar 1, 2026 12:36 am","Mar 1, 2026 12:36 am"
"Legal Considerations in Ownership Transfer","pharmacist@cornerstonepharmacy.com","","COMPLETED","Mar 1, 2026 12:36 am","Mar 1, 2026 12:36 am","Mar 1, 2026 12:36 am"
"Meet Your Successor Before You Need One","sales@lakesideoutdoor.com","","COMPLETED","Mar 1, 2026 12:37 am","Mar 1, 2026 12:37 am","Mar 1, 2026 12:37 am"
"Owner Dependency Reduction Checklist","sales@lakesideoutdoor.com","","COMPLETED","Mar 1, 2026 12:37 am","Mar 1, 2026 12:37 am","Mar 1, 2026 12:37 am"
"5-Year Ownership Vision","sales@lakesideoutdoor.com","t","COMPLETED","Mar 1, 2026 12:37 am","Mar 1, 2026 12:37 am","Mar 1, 2026 12:37 am"
"Build Transferable Systems Early","sales@lakesideoutdoor.com","","COMPLETED","Mar 1, 2026 12:38 am","Mar 1, 2026 12:38 am","Mar 1, 2026 12:38 am"
"Emergency Continuity Plan","sales@lakesideoutdoor.com","","COMPLETED","Mar 1, 2026 12:38 am","Mar 1, 2026 12:38 am","Mar 1, 2026 12:38 am"
"Understanding Business Valuation Basics","sales@lakesideoutdoor.com","","COMPLETED","Mar 1, 2026 12:38 am","Mar 1, 2026 12:38 am","Mar 1, 2026 12:38 am"
"Ownership Timeline Reflection","sales@lakesideoutdoor.com","t","COMPLETED","Mar 1, 2026 12:38 am","Mar 1, 2026 12:38 am","Mar 1, 2026 12:38 am"
"Pre-Transition Documentation Audit","sales@lakesideoutdoor.com","","COMPLETED","Mar 1, 2026 12:38 am","Mar 1, 2026 12:38 am","Mar 1, 2026 12:38 am"
"Successor Pathway Assessment","sales@lakesideoutdoor.com","t","COMPLETED","Mar 1, 2026 12:38 am","Mar 1, 2026 12:38 am","Mar 1, 2026 12:38 am"
"Financing Options for Buyers","sales@lakesideoutdoor.com","","COMPLETED","Mar 1, 2026 12:38 am","Mar 1, 2026 12:38 am","Mar 1, 2026 12:38 am"
"Due Diligence Packet Preparation","sales@lakesideoutdoor.com","","COMPLETED","Mar 1, 2026 12:38 am","Mar 1, 2026 12:38 am","Mar 1, 2026 12:38 am"
"Build Transferable Systems Early","support@heritageinsurancegroup.com","","COMPLETED","Mar 1, 2026 12:39 am","Mar 1, 2026 12:39 am","Mar 1, 2026 12:39 am"
"5-Year Ownership Vision","support@heritageinsurancegroup.com","t","COMPLETED","Mar 1, 2026 12:39 am","Mar 1, 2026 12:39 am","Mar 1, 2026 12:39 am"
"Owner Dependency Reduction Checklist","support@heritageinsurancegroup.com","","COMPLETED","Mar 1, 2026 12:39 am","Mar 1, 2026 12:39 am","Mar 1, 2026 12:39 am"
"Meet Your Successor Before You Need One","support@heritageinsurancegroup.com","","COMPLETED","Mar 1, 2026 12:39 am","Mar 1, 2026 12:39 am","Mar 1, 2026 12:39 am"
"Meet Your Successor Before You Need One","team@evergreenlandscape.com","","COMPLETED","Mar 1, 2026 12:40 am","Mar 1, 2026 12:40 am","Mar 1, 2026 12:40 am"
"Owner Dependency Reduction Checklist","team@evergreenlandscape.com","","COMPLETED","Mar 1, 2026 12:40 am","Mar 1, 2026 12:40 am","Mar 1, 2026 12:40 am"
"5-Year Ownership Vision","team@evergreenlandscape.com","","COMPLETED","Mar 1, 2026 12:40 am","Mar 1, 2026 12:40 am","Mar 1, 2026 12:40 am"
"Build Transferable Systems Early","team@evergreenlandscape.com","","COMPLETED","Mar 1, 2026 12:40 am","Mar 1, 2026 12:40 am","Mar 1, 2026 12:40 am"
"Emergency Continuity Plan","team@evergreenlandscape.com","","COMPLETED","Mar 1, 2026 12:40 am","Mar 1, 2026 12:40 am","Mar 1, 2026 12:40 am"
"Understanding Business Valuation Basics","team@evergreenlandscape.com","","COMPLETED","Mar 1, 2026 12:41 am","Mar 1, 2026 12:41 am","Mar 1, 2026 12:41 am"
"Ownership Timeline Reflection","team@evergreenlandscape.com","","COMPLETED","Mar 1, 2026 12:41 am","Mar 1, 2026 12:41 am","Mar 1, 2026 12:41 am"
"Pre-Transition Documentation Audit","team@evergreenlandscape.com","","COMPLETED","Mar 1, 2026 12:41 am","Mar 1, 2026 12:41 am","Mar 1, 2026 12:41 am"
"Successor Pathway Assessment","team@evergreenlandscape.com","t","COMPLETED","Mar 1, 2026 12:41 am","Mar 1, 2026 12:41 am","Mar 1, 2026 12:41 am"
"Financing Options for Buyers","team@evergreenlandscape.com","","COMPLETED","Mar 1, 2026 12:41 am","Mar 1, 2026 12:41 am","Mar 1, 2026 12:41 am"
"Due Diligence Packet Preparation","team@evergreenlandscape.com","","COMPLETED","Mar 1, 2026 12:41 am","Mar 1, 2026 12:41 am","Mar 1, 2026 12:41 am"
"Meet Your Successor Before You Need One","care@northcountyvets.com","","COMPLETED","Mar 1, 2026 12:42 am","Mar 1, 2026 12:42 am","Mar 1, 2026 12:42 am"
"Owner Dependency Reduction Checklist","care@northcountyvets.com","","COMPLETED","Mar 1, 2026 12:42 am","Mar 1, 2026 12:42 am","Mar 1, 2026 12:42 am"
"5-Year Ownership Vision","care@northcountyvets.com","t","COMPLETED","Mar 1, 2026 12:42 am","Mar 1, 2026 12:42 am","Mar 1, 2026 12:42 am"
"Build Transferable Systems Early","care@northcountyvets.com","","COMPLETED","Mar 1, 2026 12:42 am","Mar 1, 2026 12:42 am","Mar 1, 2026 12:42 am"
"Emergency Continuity Plan","care@northcountyvets.com","","COMPLETED","Mar 1, 2026 12:42 am","Mar 1, 2026 12:42 am","Mar 1, 2026 12:42 am"
"Understanding Business Valuation Basics","care@northcountyvets.com","","COMPLETED","Mar 1, 2026 12:42 am","Mar 1, 2026 12:42 am","Mar 1, 2026 12:42 am"
"Ownership Timeline Reflection","care@northcountyvets.com","t","COMPLETED","Mar 1, 2026 12:42 am","Mar 1, 2026 12:43 am","Mar 1, 2026 12:43 am"
"Pre-Transition Documentation Audit","care@northcountyvets.com","","COMPLETED","Mar 1, 2026 12:43 am","Mar 1, 2026 12:43 am","Mar 1, 2026 12:43 am"
"Successor Pathway Assessment","care@northcountyvets.com","","COMPLETED","Mar 1, 2026 12:43 am","Mar 1, 2026 12:43 am","Mar 1, 2026 12:43 am"
"Financing Options for Buyers","care@northcountyvets.com","","COMPLETED","Mar 1, 2026 12:43 am","Mar 1, 2026 12:43 am","Mar 1, 2026 12:43 am"
"Due Diligence Packet Preparation","care@northcountyvets.com","","COMPLETED","Mar 1, 2026 12:43 am","Mar 1, 2026 12:43 am","Mar 1, 2026 12:43 am"
"Transition Announcement Plan","care@northcountyvets.com","","COMPLETED","Mar 1, 2026 12:43 am","Mar 1, 2026 12:43 am","Mar 1, 2026 12:43 am"
"Legal Considerations in Ownership Transfer","care@northcountyvets.com","","COMPLETED","Mar 1, 2026 12:43 am","Mar 1, 2026 12:43 am","Mar 1, 2026 12:43 am"
"Build Transferable Systems Early","hello@bluehorizontech.com","","COMPLETED","Mar 1, 2026 12:57 am","Mar 1, 2026 12:57 am","Mar 1, 2026 12:57 am"
"5-Year Ownership Vision","hello@bluehorizontech.com","t","COMPLETED","Mar 1, 2026 12:57 am","Mar 1, 2026 12:57 am","Mar 1, 2026 12:57 am"
"Owner Dependency Reduction Checklist","hello@bluehorizontech.com","","COMPLETED","Mar 1, 2026 12:57 am","Mar 1, 2026 12:57 am","Mar 1, 2026 12:57 am"
"Meet Your Successor Before You Need One","hello@bluehorizontech.com","","COMPLETED","Mar 1, 2026 12:57 am","Mar 1, 2026 12:57 am","Mar 1, 2026 12:57 am"
